DATETIME	Q_inf	Q_air_1	Q_air_2	Q_air_3	Q_air_4	Q_air_5	Temp
2022-03-13 22:57:00	2065.576711095378	315.107218622264	489.225052795084	1479.7315773416176	2709.979558558655	541.4907819817727	14.247833993843589
2022-03-13 23:12:00	1968.775457358912	321.63283294839573	504.60715853037823	1461.1974656922366	2677.716217769657	505.11051940564965	14.236068486628184
2022-03-13 23:27:00	1811.545505575467	317.32980400652843	467.57754964579834	1452.0556340667115	2672.42961175953	503.39539510863057	14.314715780598206
2022-03-13 23:42:00	1678.8627279356042	316.1832967662584	469.67147618229853	1387.4629479701362	2668.735765643524	499.64059959129906	14.435070746202728
2022-03-13 23:57:00	1705.3048890241737	310.3881580318958	463.81319041175055	1331.4751933289874	2599.520977048041	468.04578570939253	14.349421411460703
2022-03-14 00:12:00	1595.846453221384	274.5406794413808	453.8227228833375	1250.0505810548786	2220.9290999809814	455.7248309810264	14.14331783569354
2022-03-14 00:27:00	1435.1043873038209	278.5429274930023	478.8171123786445	1109.8318908106223	2570.553596138337	552.3995618882886	14.383288620435046
2022-03-14 00:42:00	1474.2166376698783	317.72866591476486	558.9579510507465	912.7385630597672	2236.8860641587103	531.4692144313112	14.38565251113716
2022-03-14 00:57:00	1684.5610862128628	319.6482150261318	576.0652854365635	699.0881713128407	1962.4248433289877	508.59651220292653	14.247850956773988
2022-03-14 01:12:00	1799.3926792201855	308.08416462426385	607.5655405785991	467.72654066104894	1687.9491035813928	461.1792537646039	14.425624223271631
2022-03-14 01:27:00	1735.2915090373626	273.2605862545346	602.2592243030147	401.45889217611625	1533.443408729764	495.8585964802106	14.455174269129907
2022-03-14 01:42:00	1813.239149033052	294.7211159265852	513.5524939422571	429.814111574438	1353.145869326708	545.3815908027569	14.358372494868307
2022-03-14 01:57:00	1633.0609445870325	306.1658885680319	483.204790810586	431.64084776476886	1211.9906688343804	526.5546049551074	14.332029857147363
2022-03-14 02:12:00	1165.5053256743113	309.9600575872051	498.52134013128074	433.1154482329383	1116.3087384822993	530.9441187217186	14.507146358879377
2022-03-14 02:27:00	1019.58766682945	311.3081511476336	511.8507753772981	445.87817225368815	1153.2403635843618	537.8731455950705	14.644945395332588
2022-03-14 02:42:00	817.882639934686	309.7075657657914	549.6678225967947	731.4616018526078	1380.9463270420922	524.8387854103985	14.830685207130273
2022-03-14 02:57:00	1065.0225657678548	305.02765391824136	584.3714747940937	1122.9815093988382	1888.1464445467732	513.8814418110084	14.76871060863624
2022-03-14 03:12:00	1407.9320387180996	316.6353349022308	581.0855587503404	1384.6637370267235	2506.3930728244945	547.479276393859	15.044893664992989
2022-03-14 03:27:00	726.7034494112047	312.9014692767396	577.3305191691836	1393.8926126518588	2613.1524923601014	510.65669593568975	14.766483024045796
2022-03-14 03:42:00	636.0609894912391	281.4276421519948	562.80000142897	1416.6834510179096	2376.214234055756	457.61951870004367	14.445570775257975
2022-03-14 03:57:00	515.320293296908	271.1528276520566	559.9155578211961	1270.2530886371903	2174.6601823731767	433.16317150156215	14.526485452733786
2022-03-14 04:12:00	442.77453180416535	255.96561296060827	552.5449621811407	1312.9531647203237	1976.6313275503	449.9601358049837	14.754201673240432
2022-03-14 04:27:00	484.113433288108	264.0697689613539	548.3898648346656	1372.4973154184768	1486.5408002427102	453.27901370860417	15.023791106495928
2022-03-14 04:42:00	1192.5075918504274	250.8395656853469	537.7440887451229	1193.8012059448351	1782.2427667644413	475.7849613984878	15.284495693778268
2022-03-14 04:57:00	786.2914510409203	260.3119175417423	533.3093034218325	955.807388593144	1775.324388643496	469.6299162900094	15.17138695058313
2022-03-14 05:12:00	495.8676142939082	248.73604404787767	534.7347177323262	595.0571758284318	913.829104323432	470.6696952100708	14.964914409639157
2022-03-14 05:27:00	384.4069022026357	241.24172893658488	537.1379373873019	433.14619443667726	723.7976561187603	497.56529324910304	14.922371532051253
2022-03-14 05:42:00	383.1115172574867	254.68713591329245	535.7403863725581	443.7249274024487	711.7560150623581	490.8834345502464	15.00950817105728
2022-03-14 05:57:00	460.72797875503534	286.6812714961496	540.7241198548026	437.84275902108095	664.3147123408748	460.26908381455695	15.238569146232964
2022-03-14 06:12:00	431.22572631265007	301.516343982431	539.8295209601537	415.6900477946202	649.9855375449473	452.55518590202087	15.491134003544452
2022-03-14 06:27:00	342.97613290201804	303.7213078369712	538.3739299027363	409.5821135504909	635.9426095155543	380.9142368953214	15.57377046007534
2022-03-14 06:42:00	892.7143429790395	271.6097005399623	529.3805581442755	359.3240684331073	589.1958106895746	346.56158067552246	15.623987698810367
2022-03-14 06:57:00	974.0151781843459	244.02570352535852	522.2699233344731	353.5460422932705	588.0031243046747	356.0648296228815	15.685432951859706
